,Common_growth_component_median,Recession_prob_filtered_median,Common_growth_component_mean,Recession_prob_filtered_mean
1963-06-30,0.2874974690574319,0.0009019986539435057,0.2886391458171369,0.0033333796450550016
1963-07-31,-0.26438143241190426,0.0032460172966566753,-0.26449311956603855,0.01075774744132668
1963-08-31,0.8805360417029204,0.00022459840019385343,0.8849202391075608,0.0009882361389557778
1963-09-30,0.5660769858251135,0.00046689758570752266,0.5641972298604065,0.0018397580608012943
1963-10-31,0.4616716783339618,0.0005660401508857796,0.46466101289667155,0.002158321690185691
1963-11-30,0.34348862604273045,0.0007270938770378785,0.34418880360110254,0.0027596210299103306
1963-12-31,-0.029333611760454504,0.0018088711390711145,-0.029644463209066194,0.006244927256245111
1964-01-31,0.3171234195879715,0.0007918913882350154,0.3135279365194186,0.0032682196989559124
1964-02-29,0.8612516095031466,0.0002056236504415303,0.8659910719554931,0.0008681157672463506
1964-03-31,0.31344718916342756,0.0008494054072479549,0.31803862851349163,0.002503170694538785
1964-04-30,1.2923650462958969,7.020086324073784e-05,1.2903283419849083,0.0002609714826955996
1964-05-31,0.23767271245412266,0.0011692627362963229,0.23607232914866016,0.003385277937822583
1964-06-30,0.12627183908615303,0.0012236251999799739,0.13448945156158948,0.0033805197589965013
1964-07-31,0.7615208634541442,0.0002475293719808208,0.7654087992569726,0.000831161283698723
1964-08-31,0.43486224724947026,0.0006007575020633363,0.4324017531838682,0.0018629182066057254
1964-09-30,-0.2630859091766463,0.003150285876342469,-0.26527147497239545,0.008597076308703346
1964-10-31,-0.9260952418113693,0.015721279842841447,-0.9312858889618592,0.03662862931639316
1964-11-30,1.721750123942833,5.848793579211841e-05,1.7195620478219371,0.0003304364573229116
1964-12-31,1.545089554344366,5.307870300050644e-05,1.5497312765357116,0.00018777787942910357
1965-01-31,0.8290786499754061,0.0002956748882996028,0.8280381933268408,0.0009385637432852782
1965-02-28,0.6409899389728717,0.00037974870482045586,0.6411465502760787,0.0011675863503800463
1965-03-31,1.025079428016387,0.00013572127774973665,1.0257156407047174,0.00046396039823055234
1965-04-30,0.054734434630096675,0.0016912469594696044,0.05506364435564161,0.004891932433840352
1965-05-31,0.6872063140344962,0.00031777058723982175,0.688089390041296,0.0010452289020973797
1965-06-30,0.2830778244062385,0.0008736663885514676,0.2809929995738029,0.0025639580435793865
1965-07-31,0.8618556414323124,0.00019715161015802923,0.8588221921077658,0.0006611865500942007
1965-08-31,0.27168211178802437,0.0009455588103427098,0.2685245735569595,0.0027545313799269213
1965-09-30,0.17563663486984854,0.0010734053519893796,0.1782021775891927,0.003091783594370029
1965-10-31,1.381758497676826,5.615102509509516e-05,1.3816444426191845,0.00021461710114643062
1965-11-30,0.7714809576702341,0.00031694528676150246,0.7736501964410439,0.0009903485694412655
1965-12-31,1.6172724820401763,3.2840811741946546e-05,1.6212548612140059,0.00012473108861447345
1966-01-31,0.6689598380079007,0.0004509827618079714,0.6676807524384916,0.0014128497170863637
1966-02-28,1.1180077268882755,0.00011324593334474198,1.1176168367395773,0.00039136783623743894
1966-03-31,1.1937393746458755,0.00010088689305912127,1.1952612888342546,0.0003480680098823349
1966-04-30,-0.26146698409863833,0.003872125631048506,-0.25388670622871834,0.010230254803474987
1966-05-31,0.36807615086371037,0.0007864882725439326,0.3689737226937313,0.002440410179067285
1966-06-30,0.5173791618407629,0.0004678366785427579,0.5162851878588478,0.0014683185525395822
1966-07-31,0.6505771356659946,0.0003307113921690875,0.656204915288333,0.0010468767632330713
1966-08-31,0.5866470515071727,0.0004005646848024596,0.5909900666399791,0.0012149356317958675
1966-09-30,-0.43736373641594717,0.005104129146151959,-0.4416776707910629,0.0135929843517322
1966-10-31,0.4057104672000816,0.0007277564222728892,0.4038550932854895,0.0025055207292749705
1966-11-30,-0.29611112860704747,0.0035136126112527916,-0.29780395412861377,0.009536279460852372
1966-12-31,0.159368409583933,0.0012007239673025604,0.16399200713311918,0.003563902244557467
1967-01-31,0.5177120551434073,0.0004539532004649777,0.5215656099867237,0.0014606058936728894
1967-02-28,-1.635548019176029,0.08663889536064641,-1.6438192512420935,0.15750825256761805
1967-03-31,-0.8342885264120437,0.044682092967189016,-0.8388967504515723,0.1070691358579617
