location,name,freq,weighting,n_factors,date,ret
usa,accruals,monthly,vw_cap,6,1969-09-30,0.005335810142539
usa,accruals,monthly,vw_cap,6,1969-10-31,-0.00769889660179972
usa,accruals,monthly,vw_cap,6,1969-11-30,0.00768826721229069
usa,accruals,monthly,vw_cap,6,1969-12-31,-0.00241316155864414
usa,accruals,monthly,vw_cap,6,1970-01-31,0.0243885593854747
usa,accruals,monthly,vw_cap,6,1970-02-28,0.00756572605624488
usa,accruals,monthly,vw_cap,6,1970-03-31,0.0263811024918848
usa,accruals,monthly,vw_cap,6,1970-04-30,0.0472344969323042
usa,accruals,monthly,vw_cap,6,1970-05-31,0.0238176188767191
usa,accruals,monthly,vw_cap,6,1970-06-30,0.0201140919717602
usa,accruals,monthly,vw_cap,6,1970-07-31,0.0110973900882305
usa,accruals,monthly,vw_cap,6,1970-08-31,-0.0102926067832948
usa,accruals,monthly,vw_cap,6,1970-09-30,-0.0275865703946802
usa,accruals,monthly,vw_cap,6,1970-10-31,0.0165019447077359
usa,accruals,monthly,vw_cap,6,1970-11-30,0.0111378672100611
usa,accruals,monthly,vw_cap,6,1970-12-31,0.00430612317136514
usa,accruals,monthly,vw_cap,6,1971-01-31,-2.38609829221563e-05
usa,accruals,monthly,vw_cap,6,1971-02-28,-0.000157537502672637
usa,accruals,monthly,vw_cap,6,1971-03-31,-0.0126921030117404
usa,accruals,monthly,vw_cap,6,1971-04-30,-0.00779162061135755
usa,accruals,monthly,vw_cap,6,1971-05-31,-0.00528505786526991
usa,accruals,monthly,vw_cap,6,1971-06-30,-0.0121153347278092
usa,accruals,monthly,vw_cap,6,1971-07-31,0.00979259816371382
usa,accruals,monthly,vw_cap,6,1971-08-31,0.00121311328340287
usa,accruals,monthly,vw_cap,6,1971-09-30,-0.00382004580367958
usa,accruals,monthly,vw_cap,6,1971-10-31,0.00436024551100268
usa,accruals,monthly,vw_cap,6,1971-11-30,-0.00236793186735292
usa,accruals,monthly,vw_cap,6,1971-12-31,-0.00831124211880899
usa,accruals,monthly,vw_cap,6,1972-01-31,-0.00121449537165869
usa,accruals,monthly,vw_cap,6,1972-02-29,-0.00933549716009058
usa,accruals,monthly,vw_cap,6,1972-03-31,-0.00656851843635137
usa,accruals,monthly,vw_cap,6,1972-04-30,-0.00274583816073237
usa,accruals,monthly,vw_cap,6,1972-05-31,-0.0178338392575915
usa,accruals,monthly,vw_cap,6,1972-06-30,-0.00355077241490481
usa,accruals,monthly,vw_cap,6,1972-07-31,0.0120843790996297
usa,accruals,monthly,vw_cap,6,1972-08-31,0.0123017193438517
usa,accruals,monthly,vw_cap,6,1972-09-30,-0.00647187337458973
usa,accruals,monthly,vw_cap,6,1972-10-31,0.0137131293211147
usa,accruals,monthly,vw_cap,6,1972-11-30,0.0102778164463112
usa,accruals,monthly,vw_cap,6,1972-12-31,-0.0104480300400472
usa,accruals,monthly,vw_cap,6,1973-01-31,0.00459065835194306
usa,accruals,monthly,vw_cap,6,1973-02-28,0.01843278918146
usa,accruals,monthly,vw_cap,6,1973-03-31,0.0175518253316823
usa,accruals,monthly,vw_cap,6,1973-04-30,0.0301879632185993
usa,accruals,monthly,vw_cap,6,1973-05-31,0.0118476905275993
usa,accruals,monthly,vw_cap,6,1973-06-30,0.00759195875460353
usa,accruals,monthly,vw_cap,6,1973-07-31,-0.0388284686302055
usa,accruals,monthly,vw_cap,6,1973-08-31,0.00288600823942633
usa,accruals,monthly,vw_cap,6,1973-09-30,-0.00335044710865569
usa,accruals,monthly,vw_cap,6,1973-10-31,0.0156628730504069
usa,accruals,monthly,vw_cap,6,1973-11-30,0.0380376328143615
usa,accruals,monthly,vw_cap,6,1973-12-31,0.0195157991391781
usa,accruals,monthly,vw_cap,6,1974-01-31,0.0132226267817041
usa,accruals,monthly,vw_cap,6,1974-02-28,0.0184497792410119
usa,accruals,monthly,vw_cap,6,1974-03-31,0.00110586994433862
usa,accruals,monthly,vw_cap,6,1974-04-30,0.00437710198972907
usa,accruals,monthly,vw_cap,6,1974-05-31,-0.0023952263401233
usa,accruals,monthly,vw_cap,6,1974-06-30,0.013139030167781
usa,accruals,monthly,vw_cap,6,1974-07-31,0.0433911243623863
usa,accruals,monthly,vw_cap,6,1974-08-31,0.0267610953916101
usa,accruals,monthly,vw_cap,6,1974-09-30,0.0408770968949448
usa,accruals,monthly,vw_cap,6,1974-10-31,-0.0205547073463232
usa,accruals,monthly,vw_cap,6,1974-11-30,0.0139104793940391
usa,accruals,monthly,vw_cap,6,1974-12-31,0.0206212526815918
usa,accruals,monthly,vw_cap,6,1975-01-31,-0.00711319089936005
usa,accruals,monthly,vw_cap,6,1975-02-28,-0.0232374091153311
usa,accruals,monthly,vw_cap,6,1975-03-31,-0.00711619069104334
usa,accruals,monthly,vw_cap,6,1975-04-30,-0.00165012754627339
usa,accruals,monthly,vw_cap,6,1975-05-31,0.00401992400321834
usa,accruals,monthly,vw_cap,6,1975-06-30,0.00808771680262544
usa,accruals,monthly,vw_cap,6,1975-07-31,0.013832078150083
usa,accruals,monthly,vw_cap,6,1975-08-31,0.00743402964343384
usa,accruals,monthly,vw_cap,6,1975-09-30,0.00989570468299735
usa,accruals,monthly,vw_cap,6,1975-10-31,-0.00638718440776444
usa,accruals,monthly,vw_cap,6,1975-11-30,-0.000167199015161494
usa,accruals,monthly,vw_cap,6,1975-12-31,0.0100235584015465
usa,accruals,monthly,vw_cap,6,1976-01-31,0.012939661432793
usa,accruals,monthly,vw_cap,6,1976-02-29,0.0236153844437511
usa,accruals,monthly,vw_cap,6,1976-03-31,0.00303785234661375
usa,accruals,monthly,vw_cap,6,1976-04-30,0.00614301566119458
usa,accruals,monthly,vw_cap,6,1976-05-31,-0.00455821808080917
usa,accruals,monthly,vw_cap,6,1976-06-30,0.00413685287296418
usa,accruals,monthly,vw_cap,6,1976-07-31,0.00772502561137068
usa,accruals,monthly,vw_cap,6,1976-08-31,-0.00478601785999921
usa,accruals,monthly,vw_cap,6,1976-09-30,-0.0024010213543481
usa,accruals,monthly,vw_cap,6,1976-10-31,-0.000936539664809673
usa,accruals,monthly,vw_cap,6,1976-11-30,0.00112638561070381
usa,accruals,monthly,vw_cap,6,1976-12-31,0.0113836646539662
usa,accruals,monthly,vw_cap,6,1977-01-31,0.0067295225673536
usa,accruals,monthly,vw_cap,6,1977-02-28,0.00185878976937435
usa,accruals,monthly,vw_cap,6,1977-03-31,0.00327572355610775
usa,accruals,monthly,vw_cap,6,1977-04-30,0.0146678846089869
usa,accruals,monthly,vw_cap,6,1977-05-31,0.00144361860915024
usa,accruals,monthly,vw_cap,6,1977-06-30,-0.00597167352720521
usa,accruals,monthly,vw_cap,6,1977-07-31,-0.00647400905168278
usa,accruals,monthly,vw_cap,6,1977-08-31,-0.0111880255383391
usa,accruals,monthly,vw_cap,6,1977-09-30,-0.00129509581794269
usa,accruals,monthly,vw_cap,6,1977-10-31,0.00204027199300408
usa,accruals,monthly,vw_cap,6,1977-11-30,0.000362046959235216
usa,accruals,monthly,vw_cap,6,1977-12-31,0.00650982830237245
usa,accruals,monthly,vw_cap,6,1978-01-31,0.00197606771432129
usa,accruals,monthly,vw_cap,6,1978-02-28,0.00506163433216215
usa,accruals,monthly,vw_cap,6,1978-03-31,0.00564253065115182
usa,accruals,monthly,vw_cap,6,1978-04-30,-0.00323988335149221
usa,accruals,monthly,vw_cap,6,1978-05-31,-0.00066546349034687
usa,accruals,monthly,vw_cap,6,1978-06-30,0.0012849185846197
usa,accruals,monthly,vw_cap,6,1978-07-31,0.0036545242730513
usa,accruals,monthly,vw_cap,6,1978-08-31,-0.012052289783228
